A&B,Anode,Bnode,recordtime,Traveltime,Numtrips,Link Length,osm_class,Lanes,Speed,vol per lane,Volume
2089938011276315001,2089938011,276315001,40456.70833,30.5354,1,193.28,trunk,2,12.95,783,1567
26315302632721508555,2631530263,2721508555,40456.70833,1.9936,6,59.808,primary,1,61.36,1347,1347
4275370242751426,42753702,42751426,40456.70833,12.6597,1,203.726,residential,1,32.92,1748,1748
103865980103865982,103865980,103865982,40456.70833,12.0577,1,94.46,tertiary,1,16.02,764,764
103865982103867033,103865982,103867033,40456.70833,19.1206,1,149.791,tertiary,1,16.02,764,764
4250916542469148,42509165,42469148,40456.70833,52.816,1,130.558,residential,1,5.06,472,472
4250921342466376,42509213,42466376,40456.70833,47.5463,1,129.238,residential,1,5.56,508,508
4284975342920217,42849753,42920217,40456.70833,72.5447,4,103.543,primary,1,2.92,299,299
103866094103862024,103866094,103862024,40456.70833,10.544,2,77.652,tertiary,1,15.06,779,779
2760606831398594306,276060683,1398594306,40456.70833,1.93473,1,58.042,unclassified,1,61.36,1347,1347
191959592142453607,1919595921,42453607,40456.70833,26.2931,32,57.745,secondary,1,4.49,430,430
4250904742471085,42509047,42471085,40456.70833,17.9401,1,101.117,tertiary,1,11.53,766,766
4280329642786725,42803296,42786725,40456.70833,5.272,2,61.478,residential,1,23.85,359,359
103865947103865949,103865947,103865949,40456.70833,97.4932,1,139.152,residential,1,2.92,299,299
191959592342453610,1919595923,42453610,40456.70833,13.4342,53,78.096,primary,1,11.89,772,772
103865944103865947,103865944,103865947,40456.70833,102.187,1,145.851,residential,1,2.92,299,299
191959591642454423,1919595916,42454423,40456.70833,31.3739,33,147.362,unclassified,1,9.61,715,715
4275324642763131,42753246,42763131,40456.70833,10.1145,4,84.669,residential,1,17.12,738,738
58811459742752942,588114597,42752942,40456.70833,13.61,4,76.711,trunk,2,11.53,766,1532
4285148142864756,42851481,42864756,40456.70833,26.6451,1,79.038,secondary,1,6.07,541,541
4290039742920906,42900397,42920906,40456.70833,19.6498,1,74.404,residential,1,7.75,637,637
137072186242829798,1370721862,42829798,40456.70833,3.5978,1,107.934,motorway,2,61.36,1347,2693
476241462476241555,476241462,476241555,40456.70833,3.59706,179,56.655,unclassified,1,32.22,1736,1736
449388063449388060,449388063,449388060,40456.70833,29.9964,1,899.893,motorway,2,61.36,1347,2693
42436514596775985,42436514,596775985,40456.70833,20.2612,390,79.305,secondary,1,8.01,649,649
4245896042438947,42458960,42438947,40456.70833,5.72675,2,79.208,secondary,1,28.29,1646,1646
597325451479154964,597325451,479154964,40456.70833,14.1972,1,425.916,motorway,2,61.36,1347,2693
191959592742448549,1919595927,42448549,40456.70833,20.56,163,75.312,primary,1,7.49,624,624
370924945370927292,370924945,370927292,40456.70833,24.9624,87,196.439,motorway_link,1,16.10,763,763
2760606721398594288,276060672,1398594288,40456.70833,34.7795,31,102.935,unclassified,1,6.05,540,540
59729455142860591,597294551,42860591,40456.70833,67.2286,1,205.68,residential,1,6.26,553,553
27631389242797788,276313892,42797788,40456.70833,11.3873,3,92.215,secondary,1,16.56,752,752
4290063642910092,42900636,42910092,40456.70833,2.42862,4,46.899,residential,1,39.50,1813,1813
4290420642799041,42904206,42799041,40456.70833,17.8791,1,108.454,motorway_link,1,12.41,779,779
191959592142447435,1919595921,42447435,40456.70833,16.0455,48,77.73,primary,1,9.91,725,725
103226492103235739,103226492,103235739,40456.70833,9.82983,1,74.664,secondary,1,15.54,772,772
42453545247085079,42453545,247085079,40456.70833,12.1403,48,141.571,trunk,2,23.85,359,717
191959591742448552,1919595917,42448552,40456.70833,27.2895,96,74.177,primary,1,5.56,508,508
191959592442447435,1919595924,42447435,40456.70833,13.5522,59,76.385,primary,1,11.53,766,766
42436913596776078,42436913,596776078,40456.70833,37.2473,100,145.791,residential,1,8.01,649,649
191959591342448549,1919595913,42448549,40456.70833,21.4753,34,62.094,primary,1,5.91,531,531
264010327042433044,2640103270,42433044,40456.70833,31.8642,1,76.198,secondary,1,4.89,460,460
595254571595254573,595254571,595254573,40456.70833,19.4177,1,82.756,construction,1,8.72,681,681
122899085942427352,1228990859,42427352,40456.70833,8.26841,1,213.161,residential,1,52.73,1656,1656
752618676103162788,752618676,103162788,40456.70833,134.493,2,681.393,secondary,1,10.36,739,739
4285315742806607,42853157,42806607,40456.70833,12.0323,1,47.096,residential,1,8.01,649,649
595254573595254571,595254573,595254571,40456.70833,9.07932,36,82.756,construction,1,18.64,685,685
103865593103869089,103865593,103869089,40456.70833,27.1776,1,102.362,residential,1,7.70,635,635
427671002408438450,42767100,2408438450,40456.70833,9.55392,1,77.543,residential,1,16.60,752,752
276241677276241285,276241677,276241285,40456.70833,11.092,1,160.448,residential,1,29.59,1679,1679
276317215277046475,276317215,277046475,40456.70833,68.7531,1,101.439,residential,1,3.02,308,308
